carat,cut,color,clarity,depth,table,x,y,z,id,ts,prediction,price
1.21,Ideal,H,VVS2,61.3,57.0,6.92,6.87,4.23,19497,2021-12-27 18:13:21.399655,8060.0,8131
0.31,Ideal,E,VS2,62.0,56.0,4.38,4.36,2.71,31229,2021-12-27 18:13:21.399655,613.0,756
1.21,Ideal,E,VS1,62.4,57.0,6.75,6.83,4.24,22311,2021-12-27 18:13:21.399655,8568.0,10351
0.81,Ideal,F,SI2,62.6,55.0,5.92,5.96,3.72,278,2021-12-27 18:13:21.399655,3037.5,2795
0.79,Ideal,I,VVS2,61.7,56.0,5.94,5.95,3.67,6646,2021-12-27 18:13:21.399655,3866.5,4092
0.33,Ideal,E,VS2,61.1,55.0,4.47,4.51,2.74,30711,2021-12-27 18:13:21.399655,833.0,738
1.0,Premium,F,VS1,59.2,60.0,6.53,6.48,3.85,17532,2021-12-27 18:13:21.399655,6436.0,7056
0.9,'Very Good',E,SI1,60.1,58.0,6.25,6.29,3.77,6352,2021-12-27 18:13:21.399655,4703.5,4034
1.06,Ideal,F,VS2,61.4,56.0,6.56,6.61,4.04,18684,2021-12-27 18:13:21.399655,6797.0,7641
0.7,Ideal,F,SI1,60.7,57.0,5.78,5.82,3.52,53429,2021-12-27 18:13:21.399655,2981.5,2671
0.52,Ideal,G,SI2,61.5,56.0,5.15,5.19,3.18,40810,2021-12-27 18:13:21.399655,380.5,1170
1.0,'Very Good',H,SI2,63.0,61.0,6.31,6.35,3.99,6275,2021-12-27 18:13:21.399655,3733.0,4015
1.09,Premium,E,SI1,62.5,57.0,6.61,6.55,4.11,13838,2021-12-27 18:13:21.399655,6385.0,5640
0.54,Ideal,D,SI1,62.1,56.0,5.25,5.21,3.25,46601,2021-12-27 18:13:21.399655,1936.5,1786
0.3,Premium,E,SI1,60.0,60.0,4.38,4.36,2.62,28652,2021-12-27 18:13:21.399655,-139.0,675
0.41,Premium,I,VVS2,62.9,58.0,4.74,4.71,2.97,39097,2021-12-27 18:13:21.399655,615.5,1061
0.32,'Very Good',I,VS1,59.8,60.0,4.44,4.46,2.66,42606,2021-12-27 18:13:21.399655,-359.5,505
0.81,Premium,D,SI2,59.2,57.0,6.15,6.05,3.61,374,2021-12-27 18:13:21.399655,3177.0,2809
0.42,Ideal,G,VVS1,60.6,56.0,4.86,4.88,2.95,40917,2021-12-27 18:13:21.399655,1932.0,1179
0.79,Premium,D,SI1,61.4,59.0,5.89,5.96,3.64,2087,2021-12-27 18:13:21.399655,3978.0,3112
0.25,Ideal,G,VVS2,62.1,57.0,4.01,4.07,2.5,45642,2021-12-27 18:13:21.399655,687.0,525
2.51,Premium,J,SI1,59.6,60.0,8.84,8.79,5.25,27179,2021-12-27 18:13:21.399655,17999.0,17452
1.13,Premium,G,VVS2,61.4,58.0,6.73,6.68,4.12,19304,2021-12-27 18:13:21.399655,7747.5,8019
1.01,Premium,I,VS2,62.5,58.0,6.39,6.44,4.01,9440,2021-12-27 18:13:21.399655,5004.0,4592
0.3,Premium,E,VS2,60.0,60.0,4.36,4.4,2.63,28005,2021-12-27 18:13:21.399655,463.5,658
2.03,'Very Good',E,SI2,58.8,59.0,8.23,8.28,4.85,27458,2021-12-27 18:13:21.399655,14464.5,18115
0.32,Premium,H,VVS1,62.5,58.0,4.33,4.37,2.72,30401,2021-12-27 18:13:21.399655,597.5,730
1.05,'Very Good',F,VVS2,61.3,59.0,6.48,6.56,4.0,19997,2021-12-27 18:13:21.399655,7263.5,8537
1.04,Good,G,VS1,63.8,57.0,6.42,6.37,4.08,15908,2021-12-27 18:13:21.399655,6379.5,6360
0.4,Premium,J,VS1,63.0,58.0,4.7,4.66,2.95,32884,2021-12-27 18:13:21.399655,-739.0,810
1.29,Good,D,SI2,57.9,59.0,7.22,7.18,4.17,15301,2021-12-27 18:13:21.399655,7331.0,6140
0.41,Good,H,VS2,63.4,58.0,4.77,4.66,2.99,31146,2021-12-27 18:13:21.399655,165.5,755
2.0,Good,J,SI2,61.5,61.0,7.97,8.06,4.93,22985,2021-12-27 18:13:21.399655,11854.0,11036
0.3,Ideal,E,VS2,61.7,55.0,4.3,4.32,2.66,28033,2021-12-27 18:13:21.399655,630.5,658
0.9,Ideal,G,SI2,61.5,57.0,6.07,6.19,3.77,4900,2021-12-27 18:13:21.399655,3680.0,3722
0.9,Premium,H,VS1,61.5,59.0,6.19,6.13,3.79,6514,2021-12-27 18:13:21.399655,4811.0,4064
0.34,Ideal,I,SI1,61.9,57.0,4.48,4.44,2.76,9056,2021-12-27 18:13:21.399655,-1017.5,589
0.24,Ideal,H,IF,62.5,54.0,3.97,4.0,2.49,41626,2021-12-27 18:13:21.399655,611.0,504
0.72,'Very Good',E,VS2,63.0,57.0,5.69,5.73,3.6,1146,2021-12-27 18:13:21.399655,3674.5,2923
0.5,'Very Good',F,VVS2,60.4,61.0,5.12,5.14,3.1,46496,2021-12-27 18:13:21.399655,2474.5,1778
1.01,Good,G,VS1,63.8,57.0,6.35,6.38,4.06,16929,2021-12-27 18:13:21.399655,6112.0,6759
0.43,Ideal,H,SI1,62.5,57.0,4.79,4.84,3.01,29994,2021-12-27 18:13:21.399655,113.0,716
0.51,'Very Good',H,VS1,63.4,57.0,5.09,5.06,3.22,43716,2021-12-27 18:13:21.399655,1442.5,1437
0.95,Premium,F,SI1,62.9,59.0,6.24,6.13,3.89,9880,2021-12-27 18:13:21.399655,5049.5,4682
1.18,'Very Good',G,SI2,62.4,56.0,6.8,6.83,4.25,13597,2021-12-27 18:13:21.399655,5940.5,5562
